Dual Berettas | Cobalt Quartz (Field-Tested)
SSG 08 | Mainframe 001 (Minimal Wear)
SSG 08 | Mainframe 001 (Well-Worn)
SSG 08 | Necropos (Battle-Scarred)
SSG 08 | Necropos (Field-Tested)
SSG 08 | Necropos (Well-Worn)
Tec-9 | Army Mesh (Factory New)
Tec-9 | Cracked Opal (Battle-Scarred)
Tec-9 | Cracked Opal (Field-Tested)
Tec-9 | Cracked Opal (Well-Worn)
Tec-9 | Flash Out (Field-Tested)
Tec-9 | Fubar (Battle-Scarred)
Tec-9 | Fubar (Field-Tested)
Tec-9 | Fubar (Well-Worn)
Tec-9 | Ice Cap (Field-Tested)
Tec-9 | Phoenix Chalk (Field-Tested)
Tec-9 | Phoenix Chalk (Minimal Wear)
Tec-9 | Red Quartz (Factory New)
Tec-9 | Red Quartz (Field-Tested)
Tec-9 | Red Quartz (Minimal Wear)
Tec-9 | Sandstorm (Field-Tested)
Tec-9 | Snek-9 (Well-Worn)
Tec-9 | VariCamo (Field-Tested)
UMP-45 | Briefing (Field-Tested)
UMP-45 | Briefing (Minimal Wear)
UMP-45 | Briefing (Well-Worn)
UMP-45 | Carbon Fiber (Factory New)
UMP-45 | Facility Dark (Battle-Scarred)
UMP-45 | Facility Dark (Factory New)
UMP-45 | Facility Dark (Field-Tested)
UMP-45 | Facility Dark (Minimal Wear)
UMP-45 | Facility Dark (Well-Worn)
UMP-45 | Gunsmoke (Field-Tested)
UMP-45 | Mudder (Battle-Scarred)
UMP-45 | Mudder (Field-Tested)
UMP-45 | Mudder (Minimal Wear)
UMP-45 | Mudder (Well-Worn)
USP-S | Cyrex (Field-Tested)
USP-S | Flashback (Field-Tested)
USP-S | Forest Leaves (Battle-Scarred)
USP-S | Forest Leaves (Field-Tested)
USP-S | Forest Leaves (Minimal Wear)
USP-S | Forest Leaves (Well-Worn)
USP-S | Night Ops (Field-Tested)
XM1014 | Blue Steel (Field-Tested)
XM1014 | CaliCamo (Field-Tested)
XM1014 | Charter (Factory New)
XM1014 | Charter (Minimal Wear)
XM1014 | Oxide Blaze (Battle-Scarred)
XM1014 | Oxide Blaze (Field-Tested)
XM1014 | Oxide Blaze (Minimal Wear)
XM1014 | Slipstream (Field-Tested)
